ID,Group,Q1,Q2,Q4,Q5,Q6,Q7,Q8
Record your ID.,1,Open_Source_Experience,Professional_Software_Experience,Model_Experience,CS_Background,Law_Background,Data_Structure_Experience,English_Proficiency
6700887819,1,No,No,Yes,Yes,No,Yes,Yes
2739982107,1,No,No,Yes,Yes,No,Yes,Yes
7754608800,1,No,Yes,Yes,Yes,No,Yes,Yes
5015525786,1,Yes,No,Yes,Yes,No,Yes,Yes
234928185,1,No,No,Yes,Yes,No,Yes,No
8062644067,1,No,Yes,Yes,Yes,No,No,No
560317111,1,Yes,Yes,Yes,Yes,No,Yes,Yes
529230203,1,No,Yes,Yes,Yes,No,Yes,No
2408108620,1,No,No,No,No,No,No,Yes
8095220922,1,No,Yes,Yes,Yes,No,Yes,No
4332519644,1,No,No,Yes,Yes,No,Yes,No
1941406804,1,No,No,Yes,Yes,No,Yes,No
7615390302,1,No,Yes,Yes,Yes,No,Yes,No
8787776313,1,No,No,Yes,Yes,No,Yes,No
1696415220,1,No,Yes,Yes,Yes,No,Yes,Yes
1382305484,1,No,Yes,Yes,Yes,No,Yes,No
4964106412,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5719761468,2,Yes,Yes,Yes,Yes,No,Yes,No
1567394004,2,No,Yes,Yes,Yes,No,Yes,Yes
4715199680,2,No,No,Yes,Yes,No,No,No
805879733,2,No,No,Yes,Yes,No,Yes,Yes
2671185993,2,No,No,Yes,No,No,No,Yes
2230760578,2,No,No,Yes,Yes,No,Yes,No
1297874712,2,Yes,Yes,Yes,Yes,No,Yes,No
1275217334,2,No,No,Yes,Yes,No,Yes,Yes
9253547587,2,No,No,Yes,Yes,No,Yes,No
4430804643,2,No,Yes,Yes,Yes,No,Yes,Yes
5997991656,2,No,No,No,Yes,No,Yes,Yes
2721832218,2,No,No,Yes,Yes,No,Yes,No
4254488803,2,No,No,No,Yes,No,Yes,No
5605641673,2,Yes,Yes,Yes,Yes,No,Yes,Yes
8651419034,2,No,No,Yes,Yes,No,Yes,No