QID_ID,QID1_S2,QID1_S3,QID1_S4,QID1_S5,QID1_S6,QID1_S7,QID1_S8,QID1_S9,QID1_S10,QID1_S11,QID1_Ans,QID1_Check,QID1_SituationCheck,QID1_Confidence,QID1_AdjustedCheck,QID2_S2,QID2_S3,QID2_S4,QID2_S5,QID2_S6,QID2_S7,QID2_S8,QID2_S9,QID2_S10,QID2_S11,QID2_Ans,QID2_Check,QID2_SituationCheck,QID2_Confidence,QID2_AdjustedCheck
805879733,ST,SF,ST,SF,ST,ST,SF,SF,SF,SF,Yes,Wrong,0.666666667,VeryConf,Correct,ST,ST,SU,SU,SU,SF,SF,SF,ST,ST,Yes,Correct,0.333333333,VeryConf,Wrong
4964106412,ST,SF,ST,SU,ST,SF,SF,SF,SF,SF,Yes,Wrong,0.666666667,VeryConf,Correct,ST,SF,SU,SU,ST,SF,SF,SF,ST,SF,Yes,Correct,1,VeryConf,Correct
2721832218,ST,SF,ST,SU,SU,SF,SU,SF,ST,SF,Yes,Wrong,1,GuessConf,Correct,ST,SF,SF,SF,ST,SU,SU,SF,ST,ST,No,Wrong,0.666666667,SemiConf,Correct
4254488803,SU,ST,SF,SU,SF,ST,SU,SF,ST,SF,No,Correct,1,SemiConf,Correct,ST,SF,SF,ST,SU,SF,SF,ST,ST,SF,Yes,Correct,1,SemiConf,Correct
1275217334,SU,SU,ST,SU,ST,SU,SF,SU,SF,SF,No,Correct,0.333333333,SemiConf,Wrong,ST,SF,ST,SU,SU,SU,SF,SU,ST,SF,Yes,Correct,1,VeryConf,Correct
1567394004,ST,SF,ST,ST,ST,ST,ST,SF,ST,ST,Yes,Wrong,0.666666667,VeryConf,Correct,ST,SF,ST,ST,ST,ST,ST,SF,ST,ST,No,Wrong,0.666666667,SemiConf,Correct
4715199680,ST,ST,SU,SF,ST,SU,SF,SU,ST,ST,Yes,Wrong,0.333333333,SemiConf,Wrong,ST,ST,SU,SF,ST,SU,SF,SU,ST,ST,No,Wrong,0.333333333,SemiConf,Wrong
4430804643,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST,Yes,Wrong,0.333333333,VeryConf,Wrong,SU,SF,ST,ST,ST,SF,SF,SF,SF,SF,Yes,Correct,0.666666667,SemiConf,Correct
2671185993,ST,ST,ST,SF,ST,ST,SU,ST,ST,SU,Yes,Wrong,0.333333333,SemiConf,Wrong,ST,SF,ST,SF,ST,ST,SU,ST,ST,SU,Yes,Correct,0.666666667,SemiConf,Correct
5605641673,ST,ST,SF,SF,ST,SF,SF,ST,SF,SF,Yes,Wrong,0.333333333,GuessConf,Wrong,ST,SF,ST,ST,ST,SF,SU,ST,ST,SF,No,Wrong,1,GuessConf,Correct
8651419034,ST,SF,SU,SU,SF,ST,ST,SF,ST,SF,No,Correct,1,SemiConf,Correct,ST,SF,SU,SU,SU,ST,ST,SF,ST,SU,No,Wrong,0.666666667,SemiConf,Correct
9253547587,ST,SF,SU,SU,SU,ST,SU,SF,ST,SU,NMI,NMI,0.666666667,SemiConf,Correct,ST,SF,SU,SU,ST,SF,SU,SF,ST,SU,No,Wrong,0.666666667,SemiConf,Correct
5719761468,ST,SF,SU,SU,ST,ST,SF,SF,SF,ST,Yes,Wrong,0.333333333,VeryConf,Wrong,ST,SF,ST,SU,ST,ST,SF,SF,SF,ST,No,Wrong,0.333333333,VeryConf,Wrong
2230760578,ST,SU,ST,ST,ST,ST,SU,SU,SF,SF,NMI,NMI,0.333333333,SemiConf,Wrong,ST,SF,ST,SU,ST,SU,SU,SU,ST,SU,Yes,Correct,0.666666667,SemiConf,Correct
5997991656,ST,SF,ST,ST,ST,ST,SF,SF,SF,ST,No,Correct,0.333333333,GuessConf,Wrong,ST,SF,SF,ST,ST,ST,SF,ST,ST,SU,No,Wrong,0.666666667,GuessConf,Correct