ID,Group,Open_Source_Experience,Professional_Software_Experience,Model_Experience,CS_Background,Law_Background,Data_Structure_Experience,English_Proficiency
1154,1,No,No,Yes,Yes,No,No,Yes
1709,2,No,No,No,Yes,No,Yes,No
2178,2,No,No,No,Yes,Yes,Yes,No
2286,1,No,No,Yes,Yes,No,Yes,Yes
2640,1,Yes,Yes,No,Yes,No,Yes,Yes
2793,2,No,Yes,Yes,Yes,Yes,Yes,Yes
3296,1,No,No,No,Yes,No,No,Yes
4087,1,No,No,No,Yes,No,Yes,Yes
4177,1,No,No,No,No,No,No,Yes
4481,2,No,No,Yes,Yes,No,No,Yes
4689,1,No,No,No,Yes,Yes,Yes,Yes
4777,1,No,No,Yes,Yes,No,Yes,Yes
4830,2,No,No,Yes,Yes,No,No,Yes
5114,1,No,No,No,Yes,No,No,Yes
5387,2,No,No,No,Yes,No,No,Yes
5499,1,No,No,No,Yes,Yes,Yes,No
5640,2,No,Yes,Yes,Yes,No,Yes,Yes
6127,1,No,No,No,Yes,No,No,Yes
6322,2,No,No,Yes,Yes,No,No,Yes
6548,2,No,No,Yes,Yes,No,Yes,Yes
6671,2,No,Yes,Yes,Yes,No,Yes,Yes
6739,2,No,No,No,No,No,No,Yes
6843,2,No,No,No,Yes,No,No,No
6850,2,No,No,No,Yes,No,No,Yes
6911,1,No,No,No,Yes,No,No,No
7116,1,No,No,Yes,Yes,No,No,Yes
7224,1,Yes,No,Yes,Yes,No,Yes,Yes
7662,1,No,Yes,Yes,Yes,No,Yes,Yes
7945,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8141,2,No,No,Yes,Yes,Yes,Yes,No
8203,1,No,No,Yes,Yes,No,Yes,Yes
8725,2,No,No,Yes,Yes,No,Yes,Yes
8861,1,No,No,No,Yes,No,No,Yes
9141,2,No,No,Yes,Yes,No,Yes,No
9261,1,No,No,Yes,Yes,No,Yes,Yes
9485,2,No,No,Yes,Yes,No,Yes,Yes
9960,2,No,No,No,No,No,No,Yes